Probability_Failed,Actual_Result,>0.3
0.9412197919305021,1,TRUE
0.9412197919305021,1,TRUE
0.9412197919305021,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.9412197919305021,1,TRUE
0,1,
0,1,
0.9412197919305021,1,TRUE
0,1,
0,1,
0.9412197919305021,1,TRUE
0.9412197919305021,1,TRUE
0,1,
0.9412197919305021,1,TRUE
0.9412197919305021,1,TRUE
0,1,
0.9412197919305021,1,TRUE
0,1,
0,1,
0.932749826,0,
0.9412197919305021,1,TRUE
0,1,
0,1,
0,1,
0.9412197919305021,1,TRUE
0.9412197919305021,1,TRUE
0,1,
0,1,
0.754800682,0,
0,1,
0,1,
0.9412197919305021,1,TRUE
0,1,
0,1,
0,1,
0.9412197919305021,1,TRUE
0.8731517742495625,0,
0.932749826,0,
0,1,
0.9395534555801534,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.754800682,0,
0.9395534555801534,1,TRUE
0.8696082073763607,0,
0,1,
0.6328954625219354,0,
0.8277187336522018,0,
0,1,
0.8696082073763607,0,
0.6832864347394796,0,
0.932749826,0,
0,1,
0.9577365337313576,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.754800682,0,
0.8731517742495625,0,
0,1,
0.9380621569870995,1,TRUE
0,1,
0,1,
0.7391033951658126,0,
0.9374547186064567,1,TRUE
0.9374547186064567,1,TRUE
0,1,
0,1,
0,1,
0.8696082073763607,0,
0.9351622543950878,1,TRUE
0,1,
0.9340183397894642,1,TRUE
0,1,
0,1,
0,1,
0.754800682,0,
0,1,
0.9340183397894642,1,TRUE
0,1,
0.6832864347394796,0,
0,1,
0,1,
0.9328960306945058,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9317312425330511,1,TRUE
0.9317312425330511,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8333905558957746,0,
0,1,
0.9317312425330511,1,TRUE
0.9317312425330511,1,TRUE
0,1,
0,1,
0.754800682,0,
0,1,
0.9315096641102752,1,TRUE
0,1,
0.9315096641102752,1,TRUE
0,1,
0,1,
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0,1,
0,1,
0.9292904376732016,1,TRUE
0.8826150977597537,0,
0.754800682,0,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0,1,
0.8696082073763607,0,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0.754800682,0,
0,1,
0.9292904376732016,1,TRUE
0,1,
0,1,
0,1,
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0.9292904376732016,1,TRUE
0,1,
0.9292904376732016,1,TRUE
0,1,
0,1,
0.9292904376732016,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9292904376732016,1,TRUE
0,1,
0.8826150977597537,0,
0,1,
0,1,
0.9292904376732016,1,TRUE
0,1,
0.9291527018642163,1,TRUE
0,1,
0,1,
0,1,
0.9291527018642163,1,TRUE
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.6268968630972078,0,
0.9276590169791207,1,TRUE
0,1,
0.9267960571851858,1,TRUE
0,1,
0,1,
0.9267960571851858,1,TRUE
0.8731517742495625,0,
0,1,
0.8988004188362538,0,
0.9267960571851858,1,TRUE
0,1,
0,1,
0.6261613403806123,0,
0.8696082073763607,0,
0.9267960571851858,1,TRUE
0,1,
0.932749826,0,
0.9267960571851858,1,TRUE
0,1,
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0.6832864347394796,0,
0,1,
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0.9267960571851858,1,TRUE
0,1,
0,1,
0.9267960571851858,1,TRUE
0.979923844,0,
0,1,
0.9267960571851858,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.9267960571851858,1,TRUE
0.754800682,0,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0.8731517742495625,0,
0.754800682,0,
0.8333905558957746,0,
0,1,
0.8731517742495625,0,
0,1,
0.9267960571851858,1,TRUE
0,1,
0,1,
0.9266277375725012,1,TRUE
0,1,
0.9258729221167664,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.9258729221167664,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.9258729221167661,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.9258729221167661,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9236569109963527,1,TRUE
0,1,
0.9212641136087578,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.754800682,0,
0,1,
0.9209964382092434,1,TRUE
0.9209964382092434,1,TRUE
0.8826150977597537,0,
0,1,
0.9209964382092434,1,TRUE
0,1,
0.9209964382092434,1,TRUE
0.9209964382092434,1,TRUE
0.4927646505290984,0,
0.9209964382092434,1,TRUE
0.8731517742495625,0,
0,1,
0.9209964382092434,1,TRUE
0,1,
0,1,
0,1,
0.9178437024847441,1,TRUE
0,1,
0.9167361194645411,1,TRUE
0.9167361194645411,1,TRUE
0,1,
0,1,
0.8277187336522018,0,
0,1,
0,1,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9162700013768821,1,TRUE
0.8085349845516652,0,
0.9149473518609237,1,TRUE
0,1,
0.9145979954080979,1,TRUE
0.9138689327934864,1,TRUE
0,1,
0,1,
0.9125150337557945,1,TRUE
0,1,
0,1,
0.9125150337557945,1,TRUE
0.9125150337557945,1,TRUE
0,1,
0,1,
0.9125150337557945,1,TRUE
0,1,
0.8731517742495625,0,
0.9119901296393028,1,TRUE
0.8731517742495625,0,
0.9147538113614929,0,
0,1,
0,1,
0,1,
0.9119901296393028,1,TRUE
0,1,
0,1,
0,1,
0.9119901296393028,1,TRUE
0.8731517742495625,0,
0.754800682,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9119901296393028,1,TRUE
0,1,
0.9107178731004663,1,TRUE
0,1,
0.9107178731004663,1,TRUE
0.6832864347394796,0,
0,1,
0,1,
0,1,
0.9107178731004663,1,TRUE
0.8731517742495625,0,
0,1,
0,1,
0.9091107245605086,1,TRUE
0,1,
0.9078311553355661,1,TRUE
0.9058164657885744,1,TRUE
0.8696082073763607,0,
0,1,
0,1,
0.8696082073763607,0,
0.9058164657885744,1,TRUE
0.9039920123039071,1,TRUE
0,1,
0,1,
0.9357282161273277,0,
0,1,
0.754800682,0,
0.9039920123039071,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.9039920123039071,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9588736552450853,0,
0,1,
0.932749826,0,
0.9039920123039071,1,TRUE
0,1,
0.9023274181615616,1,TRUE
0,1,
0.9015708095294044,1,TRUE
0.6814073167996854,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.9015708095294044,1,TRUE
0,1,
0.9015708095294044,1,TRUE
0.8988061606923158,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.7286035952553169,0,
0,1,
0.8988061606923158,1,TRUE
0.8277187336522018,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8988061606923158,1,TRUE
0,1,
0,1,
0.8987430736001923,1,TRUE
0.8826150977597537,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.932749826,0,
0.8975815693223886,1,TRUE
0,1,
0.8731517742495625,0,
0,1,
0.8973647672628108,1,TRUE
0,1,
0,1,
0.8973647672628108,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8944958052268119,1,TRUE
0.782197262,0,
0.8936137148088149,1,TRUE
0,1,
0,1,
0,1,
0.8936137148088149,1,TRUE
0,1,
0,1,
0.8731517742495625,0,
0.8935000465526334,1,TRUE
0,1,
0.8933781553109555,1,TRUE
0,1,
0.8933781553109555,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8928638453567425,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,0,
0.8650783954613245,0,
0,1,
0.7290140761666861,0,
0,1,
0.754800682,0,
0,1,
0.8928523321416759,1,TRUE
0.8927832166018227,1,TRUE
0,1,
0.8927832166018227,1,TRUE
0.8731517742495625,0,
0.8927832166018227,1,TRUE
0,1,
0.8927832166018227,1,TRUE
0,1,
0.8927832166018227,1,TRUE
0,1,
0,1,
0,1,
0.8927832166018227,1,TRUE
0.8731517742495625,0,
0.7150468213961934,0,
0,1,
0,1,
0.5803420133577802,0,
0.8927832166018227,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8927832166018227,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8927832166018227,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8922014309196853,1,TRUE
0,1,
0.8922014309196853,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.7931799,0,
0.8922014309196853,1,TRUE
0,1,
0,1,
0.8908339848793629,1,TRUE
0.8908339848793628,1,TRUE
0.8908339848793628,1,TRUE
0,1,
0.8908339848793626,1,TRUE
0,1,
0.5748002666758881,0,
0,1,
0.5748002666758881,0,
0,1,
0,1,
0.8900566733572649,1,TRUE
0,1,
0.8900566733572649,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.754800682,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0.8877965447057373,1,TRUE
0,1,
0,1,
0,1,
0.6259497906434316,0,
0.8859979416446413,1,TRUE
0,1,
0,1,
0.8859979416446386,1,TRUE
0,1,
0.8859979416446386,1,TRUE
0,1,
0.8859979416446382,1,TRUE
0,1,
0,1,
0,1,
0.8859979416446382,1,TRUE
0.6346950947966533,0,
0.8857355582788368,1,TRUE
0.8834809582069572,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.6259497906434316,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.7934621658727238,0,
0.8826150977597537,1,TRUE
0.8085349845516652,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.6832864347394796,0,
0.7445339390355186,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8183170832254796,0,
0.6832864347394796,0,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.6832864347394796,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8333905558957746,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8333905558957746,0,
0.7150468213961934,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.9588736552450853,0,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.932749826,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8696082073763607,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8731517742495625,0,
0.754800682,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8085349845516652,0,
0.8826150977597537,1,TRUE
0.754800682,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.8731517742495625,0,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.6832864347394796,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8731517742495625,0,
0,1,
0.9292904376732016,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8696082073763607,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.7819912301495977,0,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8085349845516652,0,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8731517742495625,0,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.6814073167996854,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0.8826150977597537,1,TRUE
0.8696082073763607,0,
0.8826150977597537,1,TRUE
0,1,
0.9412197919305021,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.4927646505290984,0,
0.8696082073763607,0,
0.6832864347394796,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.932749826,0,
0.8085349845516652,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.7784050272241853,0,
0.8731517742495625,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.754800682,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.7953288191878823,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.932749826,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8085349845516652,0,
0,1,
0.8731517742495625,0,
0,1,
0.8183170832254796,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.7047092751182754,0,
0.754800682,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.6428508925793522,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.7690936032008565,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.6428508925793522,0,
0.8696082073763607,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.7083424480329354,0,
0.8731517742495625,0,
0,1,
0,1,
0,1,
0.754800682,0,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.932749826,0,
0,1,
0,1,
0.754800682,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.9548896285715653,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.754800682,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.5506182040867753,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.6428508925793522,0,
0,1,
0,1,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.6328954625219354,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.7098933525825353,0,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.8333905558957746,0,
0,1,
0.8333905558957746,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.7242959509886131,0,
0.8826150977597537,0,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8731517742495625,0,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,0,
0,1,
0.8826150977597537,1,TRUE
0.49276465052909835,0,
0,1,
0,1,
0,1,
0,1,
0.6883218717198243,0,
0,1,
0.8826150977597537,1,TRUE
0.754800682,0,
0.6451441474908388,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8085349845516652,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8731517742495625,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.6883218717198243,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8014037917943199,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.6451441474908388,0,
0,1,
0.6268968630972078,0,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.6346950947966533,0,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8277187336522018,0,
0,1,
0,1,
0.8731517742495625,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8696082073763607,0,
0.9878939901156614,0,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.9462955338940549,0,
0.8826150977597537,1,TRUE
0.6401775268141461,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8731517742495625,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.6832864347394796,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.8333905558957746,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.6259497906434316,0,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.9292904376732016,0,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.879315027,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8085349845516652,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.6428508925793522,0,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.6085116287856777,0,
0.8731517742495625,0,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.7445339390355156,0,
0.8535619999999979,0,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8731517742495625,0,
0,1,
0,1,
0.7990809518649533,0,
0,1,
0,1,
0.8423853387438193,0,
0.8696082073763607,0,
0,1,
0.6233662769512001,0,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0.754800682,0,
0,1,
0,1,
0,1,
0,1,
0.932749826,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8797649183274708,0,
0.8826150977597537,1,TRUE
0.6883218717198243,0,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8696082073763607,0,
0,1,
0,1,
0.9752560894222596,0,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0.8826150977597537,1,TRUE
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0,1,
0.8826150977597537,1,TRUE
0,1,
0,1,
0.754800682,0,
0.8826150977597537,1,TRUE
0.8696082073763607,0,
0.8826150977597537,1,TRUE
